Zone,AT,BE,CH,CZ,DE,DK,ES,FI,FR,GU,HU,IE,IS,LU,MA,NL,NO,PL,RE,SE,SI,SM,UK
105,,,,,,,,,,,,,,,,,,,,,,,1.6
106,,,,,,,,,,,,,,,,,,,,,,,1.3
107,,,,,,,,,,,,,,,,,,,,,,,1.2
108,,,,,,,,,,,,,,,,,,,,,,,1.3
109,,,,,,,,,,,,,,,,,,,,,,,1.7
110,,,,,,,,,,,,,,,,,,,,,,,2.4
111,,,,,,,,,,,,,,,,,,,,,,,0.8
112,,,,,,,,,,,,,,,,,,,,,,,0.8
113,,,,,,,,,,,,,,,,,,,,,,,0.8
114,,,,,,,,,,,,,,,,,,,,,,,0.4
115,,,,,,,,,,,,,,,,,,,,,,,1.1
116,,,,,,,,,,,,,,,,,,,,,,,0.4
117,,,,,,,,,,,,,,,,,,,,,,,0.9
118,,,,,,,,,,,,,,,,,,,,,,,1.0
119,,,,,,,,,,,,,,,,,,,,,,,1.1
120,,,,,,,,,,,,,,,,,,,,,,,1.4
121,,,,,,,,,,,,,,,,,,,,,,,0.8
122,,,,,,,,,,,,,,,,,,,,,,,0.8
123,,,,,,,,,,,,,,,,,,,,,,,2.0
124,,,,,,,,,,,,,,,,,,,,,,,1.5
