Zone,AT,BE,BG,CZ,CH,CR,CY,DE,FR,HE,GU,HU,IT,MA,MT,PT,RO,SI,SM,SK
33,0.0,,,1.3,,,,0.4,0.1,4.8,,,5.3,,,0.2,0.1,,,
34,0.4,,,0.1,,,,0.9,0.6,1.7,,,4.3,,,0.2,0.0,,,
35,0.1,,,1.5,,,,0.2,0.2,1.9,,,3.4,,,0.1,0.4,,,
36,0.1,,,1.5,,,,0.1,0.5,2.2,,,3.0,,,0.2,0.2,,,
37,0.2,,,0.1,,,,0.3,0.5,1.8,,,6.5,,,0.2,0.1,,,
38,0.4,,,0.1,,,,1.9,3.0,4.1,,,5.0,,,0.1,1.0,,,
39,0.5,,,0.1,,,,6.4,0.8,1.9,,,2.5,,,0.3,0.6,,,
40,0.5,,,0.1,,,,0.2,5.5,0.5,,,1.2,,,0.2,5.2,,,
41,1.0,,,0.1,,,,0.1,0.2,1.1,,,5.9,,,0.1,2.5,,,
42,2.4,,,0.1,,,,0.2,0.3,1.3,,,6.1,,,0.2,,,,
43,1.8,,,0.1,,,,0.3,0.2,1.0,,,6.0,,,0.1,,,,
44,1.7,,,0.1,,,,1.6,0.5,0.6,,,5.1,,,0.1,,,,
45,1.1,,,0.1,,,,0.1,0.1,0.5,,,5.5,,,0.1,,,,
46,1.8,,,0.1,,,,0.1,0.1,0.6,,,2.3,,,0.3,,,,
47,1.0,,,0.1,,,,5.8,0.1,0.6,,,3.6,,,0.1,,,,
48,2.0,,,7.6,,,,2.1,0.2,0.6,,,6.4,,,0.1,,,,
49,1.4,,,8.8,,,,8.1,0.5,0.5,,,6.4,,,0.1,,,,
50,1.8,,,10.5,,,,3.4,0.4,0.6,,,5.5,,,0.8,,,,
51,1.2,,,11.0,,,,0.2,0.1,0.4,,,6.3,,,0.4,,,,
52,3.1,,,10.5,,,,1.9,0.1,1.0,,,4.2,,,0.5,,,,
53,1.7,,,11.3,,,,2.0,0.2,0.7,,,3.2,,,0.1,,,,
54,3.4,,,9.5,,,,0.2,0.1,1.1,,,5.9,,,0.5,,,,
55,1.4,,,0.1,,,,0.1,0.1,0.9,,,5.1,,,1.3,,,,
56,0.9,,,0.1,,,,0.1,0.3,1.0,,,4.2,,,0.9,,,,
57,0.4,,,0.1,,,,2.2,0.1,0.6,,,3.0,,,0.6,,,,
58,0.7,,,0.1,,,,1.4,0.1,1.0,,,1.9,,,0.3,,,,
59,1.1,,,6.6,,,,1.1,1.8,0.6,,,6.7,,,0.7,,,,
60,1.0,,,,,,,2.0,0.1,3.1,,,5.3,,,2.9,,,,
61,0.3,,,,,,,2.2,0.2,3.1,,,5.0,,,1.4,,,,
62,0.3,,,,,,,0.1,0.9,2.5,,,5.7,,,3.1,,,,
63,0.6,,,,,,,2.5,0.4,2.6,,,6.0,,,1.9,,,,
64,2.2,,,,,,,2.7,16.5,2.5,,,5.9,,,1.9,,,,
65,1.1,,,,,,,2.0,23.4,0.9,,,5.4,,,1.3,,,,
66,0.8,,,,,,,3.1,13.5,1.5,,,3.7,,,1.4,,,,
67,0.2,,,,,,,3.4,5.0,2.6,,,10.9,,,4.6,,,,
68,0.7,,,,,,,6.4,10.4,0.9,,,1.4,,,1.2,,,,
69,0.7,,,,,,,2.3,0.5,1.2,,,5.5,,,1.3,,,,
70,0.5,,,,,,,1.7,0.8,2.3,,,0.5,,,0.2,,,,
71,0.6,,,,,,,2.8,0.4,,,,1.0,,,0.3,,,,
72,0.6,,,,,,,5.0,0.3,,,,1.4,,,0.1,,,,
73,0.9,,,,,,,6.1,4.5,,,,3.1,,,0.1,,,,
74,1.6,,,,,,,3.4,7.2,,,,3.7,,,0.3,,,,
75,1.2,,,,,,,7.1,0.2,,,,3.1,,,0.8,,,,
76,1.0,,,,,,,0.2,0.1,,,,7.0,,,1.0,,,,
77,0.8,,,,,,,0.2,0.1,,,,6.3,,,1.4,,,,
78,,,,,,,,1.1,0.1,,,,2.8,,,2.1,,,,
79,,,,,,,,2.3,0.7,,,,5.3,,,1.7,,,,
80,,,,,,,,0.2,0.1,,,,6.6,,,,,,,
81,,,,,,,,0.4,0.2,,,,9.1,,,,,,,
82,,,,,,,,0.7,0.1,,,,7.9,,,,,,,
83,,,,,,,,4.0,0.5,,,,10.5,,,,,,,
84,,,,,,,,3.6,3.5,,,,6.3,,,,,,,
85,,,,,,,,2.2,0.6,,,,2.5,,,,,,,
86,,,,,,,,0.1,0.7,,,,2.1,,,,,,,
87,,,,,,,,0.1,0.2,,,,3.6,,,,,,,
88,,,,,,,,0.2,0.5,,,,5.3,,,,,,,
89,,,,,,,,0.2,0.1,,,,8.4,,,,,,,
90,,,,,,,,0.1,4.1,,,,7.7,,,,,,,
91,,,,,,,,0.4,0.1,,,,6.3,,,,,,,
92,,,,,,,,0.2,0.2,,,,10.1,,,,,,,
93,,,,,,,,0.1,0.1,,,,,,,,,,,
94,,,,,,,,0.3,0.2,,,,,,,,,,,
95,,,,,,,,0.3,0.1,,,,,,,,,,,
