Zone,AT,BE,CH,CZ,ES,DE,FR,IT,LU,NL,SI
46,4.5,,,3.2,1.7,2.7,12.2,3.3,,3.2,
47,0.3,,,2.3,6.7,13.2,18.1,7.5,,1.2,
48,3.3,,,2.8,0.1,11.9,13.7,7.5,,2.5,
49,1.3,,,2.7,0.5,8.7,2.1,7.5,,0.6,
50,2.1,,,4.0,1.2,13.9,1.9,3.7,,4.7,
51,11.4,,,4.5,,11.2,6.4,3.7,,2.9,
52,2.7,,,5.0,,2.1,10.9,3.7,,4.6,
53,0.2,,,3.0,,6.0,4.7,3.7,,0.3,
54,0.4,,,3.2,,5.0,2.0,3.7,,2.4,
55,7.9,,,3.0,,3.3,0.8,3.7,,5.8,
56,0.4,,,3.0,,11.2,0.1,3.7,,2.4,
57,0.2,,,4.1,,0.3,2.7,3.7,,5.2,
58,8.2,,,2.8,,4.3,19.9,3.7,,2.1,
59,3.6,,,2.7,,2.4,1.9,3.7,,8.5,
60,4.7,,,,,3.0,1.9,0.8,,9.7,
61,1.5,,,,,0.7,16.1,0.8,,8.9,
62,3.9,,,,,18.2,1.4,0.8,,0.1,
63,2.6,,,,,5.3,2.6,0.8,,0.1,
64,2.4,,,,,4.9,15.3,0.8,,7.4,
65,4.8,,,,,0.3,20.0,0.8,,4.1,
66,0.8,,,,,8.0,2.0,0.8,,0.8,
67,1.2,,,,,15.3,4.6,0.8,,0.3,
68,0.4,,,,,11.7,12.1,0.0,,3.2,
69,10.7,,,,,7.7,17.1,0.0,,1.5,
70,1.3,,,,,1.7,13.6,0.0,,1.6,
71,4.5,,,,,6.4,12.1,0.0,,2.9,
72,15.0,,,,,5.6,0.7,0.0,,7.1,
73,0.3,,,,,5.0,15.3,0.0,,4.1,
74,1.2,,,,,7.8,9.5,0.0,,1.6,
75,1.3,,,,,8.0,6.2,0.0,,1.4,
76,0.2,,,,,55.9,0.7,0.0,,0.1,
77,4.2,,,,,41.6,1.9,0.0,,0.4,
78,,,,,,7.9,1.7,0.0,,0.3,
79,,,,,,10.7,1.1,0.0,,0.0,
80,,,,,,8.7,4.6,0.8,,5.1,
81,,,,,,7.8,3.7,0.0,,0.7,
82,,,,,,15.8,20.4,0.0,,0.3,
83,,,,,,5.2,0.6,0.0,,1.0,
84,,,,,,3.2,0.6,0.0,,1.1,
85,,,,,,12.4,1.3,0.0,,5.1,
86,,,,,,9.1,1.3,0.0,,2.5,
87,,,,,,4.2,1.7,0.0,,1.8,
88,,,,,,8.5,3.2,0.0,,0.3,
89,,,,,,3.9,3.3,0.0,,4.4,
90,,,,,,6.4,6.0,0.0,,3.0,
91,,,,,,2.7,2.3,0.0,,,
92,,,,,,3.0,1.0,0.0,,,
93,,,,,,2.5,4.0,,,,
94,,,,,,2.5,0.7,,,,
95,,,,,,1.4,2.3,,,,
